uuid,match_id,participants,game_creation,game_length,game_version,tft_set_number,puuid,summoner_name,level,placement,last_round,time_eliminated,total_damage_to_players,players_eliminated,arcana,chrono,dragon,druid,eldritch,faerie,frost,honeymancy,portal,pyro,ravenous,sugarcraft,witchcraft,ascendant,bastion,batqueen,blaster,explorer,hunter,incantor,mage,multistriker,preserver,scholar,shapeshifter,vanguard,warrior,
NA1_5125820116_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125820116,"[""Flandre"", ""destined journey"", ""VIT prestivent"", ""ConnorBedardSZN"", ""VIT k3soju"", ""Homurakuma"", ""LadyLuck"", ""Cottontail""]",1.72795E+12,2073.634521484375,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,3,34,2048.900879,134,0,0,2,0,0,1,2,2,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,4,2,2,0,0,
NA1_5125812431_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125812431,"[""VIT k3soju"", ""VIT prestivent"", ""Marcel P Clash"", ""LadyLuck"", ""Cottontail"", ""Xender"", ""JP m1zono"", ""Kurumx""]",1.72795E+12,2209.337402,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,3,34,2003.0408935546875,118,1,2,2,0,0,0,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,1,0,2,1,
NA1_5125802726_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125802726,"[""Marcel P Clash"", ""VIT prestivent"", ""B\u00e9aster"", ""VIT k3soju"", ""Cheeky Wombat"", ""ManChodi"", ""Lelouuch"", ""Draeko""]",1.72795E+12,2154.887695,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,2,37,2141.970215,151,3,1,2,0,0,0,5,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,3,3,1,0,0,0,
NA1_5125803810_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125803810,"[""aeronets"", ""Allen"", ""BeautyHuntersa"", ""jeddi"", ""VIT k3soju"", ""night tft"", ""syz"", ""Sir Alonx""]",1.72795E+12,2024.5206298828125,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,2,34,2011.853271484375,130,0,4,2,0,0,0,0,1,0,0,2,0,1,1,1,1,1,1,0,0,0,0,1,4,2,2,1,2,
NA1_5125789295_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125789295,"[""\u9818\u57df\u5c55\u958b"", ""tacticalgenius1"", ""Marcel P Clash"", ""syz"", ""VIT k3soju"", ""Allen"", ""Rennie"", ""PMD LILTOP""]",1.72794E+12,1836.151367,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,7,27,1550.752197265625,64,0,3,2,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,1,2,1,0,
NA1_5125782749_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125782749,"[""VIT k3soju"", ""\u9818\u57df\u5c55\u958b"", ""tacticalgenius1"", ""Cottontail"", ""Riptide"", ""LadyLuck"", ""HowTo"", ""VIT setsuko""]",1.72794E+12,2045.520996,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,8,3,34,1900.170166015625,114,1,3,0,0,0,0,1,0,0,0,6,0,1,0,0,2,0,2,0,0,0,0,3,0,1,1,2,1,
NA1_5125764510_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125764510,"[""HowTo"", ""VIT k3soju"", ""B\u00e9aster"", ""LemonVip"", ""PestControl"", ""PanicRoll"", ""Game setsuko"", ""dpei""]",1.72794E+12,1964.257813,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,8,5,28,1587.3858642578125,73,0,3,0,0,0,0,1,0,0,1,2,0,1,0,0,2,0,4,0,0,0,0,1,0,1,0,2,0,
NA1_5125747442_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125747442,"[""VIT k3soju"", ""VIT setsuko"", ""jasonjava"", ""ConnorBedardSZN"", ""ManChodi"", ""Myrostik"", ""Dreynox"", ""PanicRoll""]",1.72794E+12,2233.114501953125,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,8,4,32,1848.9222412109375,96,1,4,2,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,1,2,0,1,1,1,0,1,0,
NA1_5125201858_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125201858,"[""DimDot"", ""Luqun"", ""VIT k3soju"", ""Sunny Side Up"", ""Koboku Klicker"", ""Marcel P Clash"", ""Kurumx"", ""CPopSmoke""]",1.72787E+12,2031.9473876953125,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,3,33,1890.387695,118,1,0,2,0,0,1,0,1,0,0,0,1,1,6,0,1,1,0,0,0,2,0,0,2,0,2,0,2,
NA1_5125189332_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125189332,"[""TwTV GGitsRyan"", ""dpei"", ""DoYouWantSomeTea"", ""149cm"", ""VIT k3soju"", ""Sunny Side Up"", ""300 ping pog"", ""META Souless""]",1.72787E+12,1940.408691,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,1,35,1928.1378173828125,173,2,0,2,0,1,0,1,2,0,0,0,0,6,2,0,0,1,0,0,2,1,0,0,4,1,0,0,2,
